지역명,자치구명,건물용도,거래유형,면적구간,거래건수,신뢰등급,출처,매매가,매매가_25,매매가_75,보증금,보증금_25,보증금_75,월임대료,면적_중앙값,행정동ID_8자리
개포3동,강남구,연립다세대,매매,20㎡이하,77,높음,자치구,21500.0,19446.0,29500.0,,,,,16.6,11230511
개포3동,강남구,연립다세대,매매,20-40㎡,45,높음,법정동,53500.0,40000.0,64800.0,,,,,32.8,11230511
개포3동,강남구,연립다세대,매매,40-60㎡,58,높음,법정동,72500.0,59150.0,83375.0,,,,,48.9,11230511
개포3동,강남구,연립다세대,매매,60-85㎡,17,보통,법정동,86500.0,73000.0,120000.0,,,,,75.6,11230511
개포3동,강남구,연립다세대,매매,85-135㎡,42,높음,자치구,160000.0,113500.0,238125.0,,,,,106.1,11230511
개포3동,강남구,연립다세대,매매,135㎡초과,13,보통,자치구,176000.0,155000.0,222000.0,,,,,166.0,11230511
개포3동,강남구,오피스텔,매매,20㎡이하,30,높음,자치구,20400.0,15600.0,24425.0,,,,,17.6,11230511
개포3동,강남구,오피스텔,매매,20-40㎡,18,보통,해당지역,21800.0,21250.0,23400.0,,,,,32.4,11230511
개포3동,강남구,오피스텔,매매,40-60㎡,107,높음,자치구,41610.0,33000.0,50000.0,,,,,45.5,11230511
개포3동,강남구,오피스텔,매매,60-85㎡,19,보통,자치구,95000.0,65400.0,114750.0,,,,,74.8,11230511
개포3동,강남구,단독다가구,월세,20㎡이하,230,높음,자치구,,,,1000.0,,,60.0,19.0,11230511
개포3동,강남구,단독다가구,월세,20-40㎡,72,높음,법정동,,,,1000.0,,,54.5,30.0,11230511
개포3동,강남구,단독다가구,월세,40-60㎡,30,높음,법정동,,,,5000.0,,,70.0,46.9,11230511
개포3동,강남구,단독다가구,월세,60-85㎡,216,높음,자치구,,,,5000.0,,,120.0,67.8,11230511
개포3동,강남구,단독다가구,월세,85-135㎡,95,높음,자치구,,,,10000.0,,,130.0,100.7,11230511
개포3동,강남구,단독다가구,월세,135㎡초과,46,높음,자치구,,,,1000.0,,,82.5,177.8,11230511
